seed,beta_pi,lambda_pi,gamma,MC,IPCmem,IPCnonlin,IPCtot,Vfeat,reff,n_features,n_diag_samples,mean_val_rank,mean_val_nmse,mean_test_nmse
42,0.07,0.12,0.22,5.7300879187026625,5.7300879186978815,4.0571709224073285,9.78725884110521,0.00516545238228718,2.4452914942611397,16,750,0.19387755102040816,0.19612404155375623,0.21033903229953033
42,0.07,0.12,0.3,5.03664064814875,5.036640648144683,4.310762250905676,9.347402899050358,0.005506094032621764,2.191560749388986,16,750,0.17959183673469387,0.1979809280617742,0.2091559172273503
42,0.07,0.16,0.0,0.01898108040930413,0.05627219944568007,0.0002235703101318709,0.05649576975581194,0.24697532298506084,13.438429016100502,16,750,0.8428571428571429,1.2822028321633083,1.0615237489708003
42,0.07,0.16,0.05,7.5964425824914,8.319754970660918,1.465205944614052,9.78496091527497,0.0026054312076192994,5.004392107848303,16,750,0.2316326530612245,0.1204783187445982,0.13816903491245133
42,0.07,0.16,0.12,6.558530864095907,6.625309120115726,2.942224873863151,9.567533993978877,0.004014225557496153,2.9749052774579545,16,750,0.2326530612244898,0.17460266637497698,0.19567657623142487
42,0.07,0.16,0.22,5.406605505848799,5.406605505843387,3.9768555103498886,9.383461016193275,0.004533100755898693,2.2486899178868844,16,750,0.21122448979591837,0.19852804848341973,0.20765347251584806
42,0.07,0.16,0.3,4.546499688237963,4.546499688230725,4.188140279412393,8.734639967643119,0.004371416083689418,2.0814747913441205,16,750,0.22448979591836735,0.20067106745935265,0.20605675035022136
42,0.07,0.28,0.0,0.009442728283700408,0.02537624344060152,0.013270086903028888,0.03864633034363041,0.2288148970146579,13.966228990932477,16,750,0.7336734693877551,1.1231305104011944,1.0062929900376663
42,0.07,0.28,0.05,6.3343348863544975,7.262061306586881,1.550611143124492,8.812672449711373,0.005757544402215756,2.8209553510146064,16,750,0.39591836734693875,0.14802983138029985,0.16836327345611068
42,0.07,0.28,0.12,5.866576779096673,5.892873494977139,3.0854913017430667,8.978364796720205,0.005214859549520627,2.3636769795816526,16,750,0.19693877551020408,0.18322297814509292,0.21106554269073696
42,0.07,0.28,0.22,5.0290612589511685,5.029061258942858,4.449861951229862,9.47892321017272,0.003192933046130741,2.3217746034881075,16,750,0.1653061224489796,0.19642643000777693,0.20751468970836212
42,0.07,0.28,0.3,4.354660243589626,4.354660243583919,4.5836995901811095,8.938359833765029,0.0023248841687601787,2.2542230695178276,16,750,0.21428571428571427,0.19855266780039899,0.20765876748971646
42,0.07,0.42,0.0,0.0,0.0,0.0011767293520320576,0.0011767293520320576,0.23143860112417247,13.876120045008001,16,750,0.7122448979591837,1.281356132305081,1.0319282768247617
42,0.07,0.42,0.05,7.35836988227152,9.15599125960009,0.1583018799214051,9.314293139521494,0.0026113957900518866,5.2721819315458625,16,750,0.2193877551020408,0.10613356623409317,0.12027590114510812
42,0.07,0.42,0.12,7.515680693272903,7.9689472421543925,1.211537592217357,9.18048483437175,0.003936017449870655,3.6982308447340078,16,750,0.25918367346938775,0.14954719522656135,0.16720171789155333
42,0.07,0.42,0.22,6.155632805449304,6.1936084792318775,2.7137788588824985,8.907387338114376,0.005103631037282015,2.7057570261965855,16,750,0.23979591836734693,0.1870150549651268,0.20213880997868372
42,0.07,0.42,0.3,5.41693848486724,5.416938484861813,3.5369601771926016,8.953898662054414,0.005627403412414,2.3402447392390773,16,750,0.17346938775510204,0.19723751306226708,0.20668890450060343
42,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.42719390436279253,11.61880026530018,16,750,0.8244897959183674,1.3068109015847433,1.0103969505784343
42,0.1,0.0,0.05,0.0,0.0,0.879528554012427,0.879528554012427,0.0015752934128913122,6.022718479235684,16,750,0.6581632653061225,1.0385197888052247,0.8185131769689774
42,0.1,0.0,0.12,0.0,0.0,1.9291881606836747,1.9291881606836747,0.001923788614620346,4.5813794025705405,16,750,0.7153061224489796,1.1845739024332813,0.9232977191164177
42,0.1,0.0,0.22,0.0,0.0,2.680984019285065,2.680984019285065,0.0020219060993867458,3.122683471908474,16,750,0.7561224489795919,1.2153316108482197,0.9285044002402966
42,0.1,0.0,0.3,0.0,0.0,3.190938171904182,3.190938171904182,0.001983322448204388,2.4508645074063833,16,750,0.7642857142857142,1.2229951139545139,0.9331829889504626
42,0.1,0.05,0.0,0.0,0.01582677719801373,0.006393353543540314,0.022220130741554045,0.3428311657333476,12.169069468110601,16,750,0.6989795918367347,1.2659718636981931,1.0205712587695464
42,0.1,0.05,0.05,6.437004805476832,7.656192785262007,0.26364191410999227,7.919834699371999,0.0029701422597301526,6.414027908994431,16,750,0.25918367346938775,0.1280560828209871,0.1423477461874172
42,0.1,0.05,0.12,7.021888165364737,7.1931954718743105,1.0968072786725815,8.290002750546892,0.004526380720367124,4.334529521584279,16,750,0.3051020408163265,0.16090348084333897,0.18292672331030685
42,0.1,0.05,0.22,6.457360664558559,6.4573606645511505,2.315416359657994,8.772777024209145,0.005853449490631839,3.0766148673172165,16,750,0.2469387755102041,0.19048807848448035,0.2045532118405622
