bootstrap,band_size,loto_mean_band_rank,loto_mean_rep_rank
389,7,0.2288825773580654,0.1963265306122449
390,5,0.2443361273080661,0.2670408163265306
391,7,0.2204114139828425,0.2381632653061224
392,4,0.2685691609977324,0.2605102040816326
393,7,0.2279582866113478,0.2365306122448979
394,4,0.2348061224489795,0.250204081632653
395,6,0.2383546275653118,0.2806122448979592
396,5,0.2367970759732464,0.2532653061224489
397,4,0.2312095876812263,0.2168367346938775
398,5,0.2445238095238095,0.2793877551020408
399,4,0.2442878401360544,0.2420408163265306
400,7,0.2179997539308764,0.2347959183673469
401,5,0.2345032596371882,0.2379591836734693
402,7,0.225829081632653,0.2347959183673469
403,5,0.2469030612244898,0.1973469387755102
404,6,0.2379118033178184,0.2586734693877551
405,4,0.2374384515711046,0.2416326530612244
406,5,0.2429149659863945,0.2757142857142857
407,5,0.2367486573576799,0.2437755102040816
408,4,0.2565602526724976,0.3362244897959184
409,3,0.2717595499738357,0.3033673469387755
410,2,0.2545954810495626,0.2904081632653061
411,5,0.2256065759637188,0.286734693877551
412,5,0.241578231292517,0.2959183673469387
413,6,0.2342274052478133,0.2563265306122449
414,5,0.236939990281827,0.2287755102040816
415,3,0.2608189942643724,0.2889795918367347
416,5,0.2394947502810648,0.2803061224489795
417,6,0.2286075263438709,0.2829591836734694
418,3,0.2598756073858115,0.3163265306122449
419,5,0.2387068288854003,0.2427551020408163
420,4,0.2441571342822843,0.1928571428571428
421,5,0.2498155976676384,0.2289795918367347
422,6,0.2308904730723458,0.2547959183673469
423,5,0.2349121315192743,0.2591836734693877
424,6,0.2383319160997732,0.2540816326530612
425,4,0.2259155328798185,0.2443877551020408
426,4,0.2288214619181005,0.2634693877551021
427,9,0.2135892950586828,0.1955102040816326
428,1,0.2859059392987964,0.3021428571428571
429,7,0.22015660430839,0.2514285714285714
430,5,0.2272735409953455,0.2159183673469387
431,5,0.2306984936831875,0.2546938775510204
432,3,0.2408864795918367,0.2393877551020408
433,5,0.2271985157699443,0.278061224489796
434,4,0.2593968658892128,0.2807142857142857
435,6,0.2328586005830903,0.2329591836734694
436,2,0.2588097739095638,0.2807142857142857
437,6,0.2499277210884353,0.2608163265306122
438,5,0.2312896527031865,0.2137755102040816
439,6,0.218835843861354,0.2251020408163265
440,6,0.2282883995703544,0.2433673469387755
441,9,0.2197220676149247,0.2161224489795918
442,3,0.2513773080660836,0.2412244897959183
443,2,0.2574399092970521,0.2612244897959184
444,8,0.2204425736961451,0.2198979591836734
445,0,0.2704397473275024,0.3040816326530612
446,3,0.2582337220602527,0.2327551020408163
447,3,0.2651005457127906,0.2096938775510204
448,3,0.2622886297376093,0.2716326530612245
449,2,0.2468546136403279,0.2741836734693877
450,6,0.2242416585681891,0.200204081632653
451,4,0.2355442176870748,0.2439795918367346
452,7,0.2405806608357628,0.3006122448979592
453,8,0.224681729834791,0.2405102040816326
454,5,0.2314812030075188,0.2559183673469387
455,6,0.2351077276760506,0.2237755102040816
456,7,0.2261653356994971,0.211938775510204
457,8,0.2292675886143931,0.2497959183673469
458,4,0.2418723679948169,0.2671428571428571
459,5,0.2360772380380723,0.2818367346938775
460,4,0.2437925170068026,0.2776530612244898
461,4,0.2326692010137388,0.2437755102040816
462,7,0.234860644257703,0.2103061224489796
463,5,0.2287653061224489,0.2518367346938775
464,1,0.2600647566718995,0.2712244897959184
465,5,0.2477517006802721,0.2761224489795919
466,9,0.2200844671201813,0.1988775510204081
467,6,0.23511131144187,0.2633673469387755
468,3,0.2636160947895642,0.2689795918367347
469,5,0.2270016491445063,0.238469387755102
470,9,0.2308806431663574,0.2244897959183673
471,8,0.2203276239067055,0.2321428571428571
472,5,0.2277361626468769,0.2564285714285714
473,7,0.2315929189857761,0.2277551020408163
474,1,0.298143475572047,0.3065306122448979
475,4,0.2379035845107274,0.2798979591836734
476,3,0.2504974084872043,0.223469387755102
477,6,0.2330841836734694,0.2201020408163265
478,3,0.2529604205318491,0.2486734693877551
479,5,0.2562473716759431,0.2925510204081633
480,5,0.2266822562358276,0.2407142857142857
481,8,0.2340984031274847,0.1880612244897959
482,6,0.2219254130223517,0.23
483,1,0.2554090743440233,0.2738775510204081
484,5,0.2569714639102394,0.2405102040816326
485,3,0.2456735908649174,0.2737755102040816
486,6,0.2270590010896133,0.2420408163265306
487,5,0.2409829484425349,0.2698979591836735
488,5,0.2361312100597815,0.2413265306122449
489,3,0.2459420214586702,0.258469387755102
490,6,0.2305187074829931,0.250204081632653
491,6,0.2335442176870747,0.2438775510204081
492,5,0.2340382089688877,0.2359183673469387
493,4,0.2595767735665695,0.2772448979591837
