family,seed,beta_pi,lambda_pi,gamma,MC
QRC,51,0.02,0.16,0.22,7.342269761398832
QRC,51,0.02,0.16,0.3,6.101248798268521
QRC,51,0.02,0.28,0.0,0.0
QRC,51,0.02,0.28,0.05,9.629044854940089
QRC,51,0.02,0.28,0.12,7.995395248958925
QRC,51,0.02,0.28,0.22,6.490585730491379
QRC,51,0.02,0.28,0.3,6.013205930980849
QRC,51,0.02,0.42,0.0,0.0
QRC,51,0.02,0.42,0.05,11.505809982149207
QRC,51,0.02,0.42,0.12,9.945208505392698
QRC,51,0.02,0.42,0.22,7.361836296837315
QRC,51,0.02,0.42,0.3,6.504333644211831
QRC,51,0.04,0.0,0.0,0.0
QRC,51,0.04,0.0,0.05,0.0
QRC,51,0.04,0.0,0.12,0.0
QRC,51,0.04,0.0,0.22,0.0
QRC,51,0.04,0.0,0.3,0.0
QRC,51,0.04,0.05,0.0,0.0084100079984887
QRC,51,0.04,0.05,0.05,10.46462064377279
QRC,51,0.04,0.05,0.12,9.315315868072378
QRC,51,0.04,0.05,0.22,7.050317456486699
QRC,51,0.04,0.05,0.3,5.766491127636482
QRC,51,0.04,0.1,0.0,0.0
QRC,51,0.04,0.1,0.05,8.970601852368457
QRC,51,0.04,0.1,0.12,8.229011237143197
QRC,51,0.04,0.1,0.22,6.821459873977292
QRC,51,0.04,0.1,0.3,6.220278771514488
QRC,51,0.04,0.12,0.0,0.0
QRC,51,0.04,0.12,0.05,9.341618403583892
QRC,51,0.04,0.12,0.12,8.210757714040568
QRC,51,0.04,0.12,0.22,6.882444233547121
QRC,51,0.04,0.12,0.3,6.188931251758193
QRC,51,0.04,0.16,0.0,0.0
QRC,51,0.04,0.16,0.05,8.826967389661121
QRC,51,0.04,0.16,0.12,8.030357789906573
QRC,51,0.04,0.16,0.22,6.3457475257382825
QRC,51,0.04,0.16,0.3,5.54705917475875
QRC,51,0.04,0.28,0.0,0.0
QRC,51,0.04,0.28,0.05,7.791179667073522
QRC,51,0.04,0.28,0.12,6.6029334316642725
QRC,51,0.04,0.28,0.22,5.833969791891484
QRC,51,0.04,0.28,0.3,5.525491096172431
QRC,51,0.04,0.42,0.0,0.0
QRC,51,0.04,0.42,0.05,9.78260387286658
QRC,51,0.04,0.42,0.12,8.503715551498265
QRC,51,0.04,0.42,0.22,6.527405277256636
QRC,51,0.04,0.42,0.3,5.946508680898149
QRC,51,0.07,0.0,0.0,0.0
QRC,51,0.07,0.0,0.05,0.0
QRC,51,0.07,0.0,0.12,0.0
QRC,51,0.07,0.0,0.22,0.0
QRC,51,0.07,0.0,0.3,0.0
QRC,51,0.07,0.05,0.0,0.0
QRC,51,0.07,0.05,0.05,8.352956927254388
QRC,51,0.07,0.05,0.12,7.58338967995013
QRC,51,0.07,0.05,0.22,5.902324216451851
QRC,51,0.07,0.05,0.3,5.049835753581835
QRC,51,0.07,0.1,0.0,0.0211646720660301
QRC,51,0.07,0.1,0.05,7.5855364829991325
QRC,51,0.07,0.1,0.12,7.292536926683052
QRC,51,0.07,0.1,0.22,6.04170417929946
QRC,51,0.07,0.1,0.3,5.335077893211208
QRC,51,0.07,0.12,0.0,0.0
QRC,51,0.07,0.12,0.05,7.937759652340087
QRC,51,0.07,0.12,0.12,7.170656800115235
QRC,51,0.07,0.12,0.22,5.931067077086462
QRC,51,0.07,0.12,0.3,5.226513100875495
QRC,51,0.07,0.16,0.0,0.0
QRC,51,0.07,0.16,0.05,7.351573491284329
QRC,51,0.07,0.16,0.12,6.7724474659419815
QRC,51,0.07,0.16,0.22,5.501335550607553
QRC,51,0.07,0.16,0.3,4.9430279361727525
QRC,51,0.07,0.28,0.0,0.0
QRC,51,0.07,0.28,0.05,6.061927812816643
QRC,51,0.07,0.28,0.12,5.550303656383198
QRC,51,0.07,0.28,0.22,5.228921758084617
QRC,51,0.07,0.28,0.3,4.808608262194882
QRC,51,0.07,0.42,0.0,0.0
QRC,51,0.07,0.42,0.05,8.170768074859966
QRC,51,0.07,0.42,0.12,7.27582321323532
QRC,51,0.07,0.42,0.22,5.795769733359371
QRC,51,0.07,0.42,0.3,5.2986857779160585
QRC,51,0.1,0.0,0.0,0.0
QRC,51,0.1,0.0,0.05,0.0
QRC,51,0.1,0.0,0.12,0.0
QRC,51,0.1,0.0,0.22,0.0
QRC,51,0.1,0.0,0.3,0.0
QRC,51,0.1,0.05,0.0,0.0
QRC,51,0.1,0.05,0.05,6.728294128164868
QRC,51,0.1,0.05,0.12,6.280984027080789
QRC,51,0.1,0.05,0.22,5.176334690475904
QRC,51,0.1,0.05,0.3,4.5217336559532
QRC,51,0.1,0.1,0.0,0.0028448202319182
QRC,51,0.1,0.1,0.05,6.662321541504737
QRC,51,0.1,0.1,0.12,6.582543694240612
QRC,51,0.1,0.1,0.22,5.343756566468875
QRC,51,0.1,0.1,0.3,4.596166459407856
QRC,51,0.1,0.12,0.0,0.0
QRC,51,0.1,0.12,0.05,6.945581715155164
QRC,51,0.1,0.12,0.12,6.274806593811395
QRC,51,0.1,0.12,0.22,5.057498164188798
QRC,51,0.1,0.12,0.3,4.456453431538341
QRC,51,0.1,0.16,0.0,0.0
QRC,51,0.1,0.16,0.05,6.202983912398929
QRC,51,0.1,0.16,0.12,5.892275198906741
QRC,51,0.1,0.16,0.22,4.903781246432186
QRC,51,0.1,0.16,0.3,4.387229076119239
QRC,51,0.1,0.28,0.0,0.0
QRC,51,0.1,0.28,0.05,4.9340556610774815
QRC,51,0.1,0.28,0.12,4.89281802103746
QRC,51,0.1,0.28,0.22,4.682927072764831
QRC,51,0.1,0.28,0.3,4.214379657131984
QRC,51,0.1,0.42,0.0,0.0
QRC,51,0.1,0.42,0.05,6.973176486749851
QRC,51,0.1,0.42,0.12,6.447928166620557
QRC,51,0.1,0.42,0.22,5.239658770713117
QRC,51,0.1,0.42,0.3,4.780355085234338
QRC,51,0.22,0.0,0.0,0.0
QRC,51,0.22,0.0,0.05,0.0
QRC,51,0.22,0.0,0.12,0.0
QRC,51,0.22,0.0,0.22,0.0
QRC,51,0.22,0.0,0.3,0.0
QRC,51,0.22,0.05,0.0,0.0
QRC,51,0.22,0.05,0.05,3.4906676907531
QRC,51,0.22,0.05,0.12,3.672155134046646
QRC,51,0.22,0.05,0.22,3.2941927173401737
QRC,51,0.22,0.05,0.3,3.013806732767935
QRC,51,0.22,0.1,0.0,0.0
QRC,51,0.22,0.1,0.05,3.7226667195644287
QRC,51,0.22,0.1,0.12,3.8548238021285366
QRC,51,0.22,0.1,0.22,3.3031211753094625
QRC,51,0.22,0.1,0.3,3.0932684524594265
QRC,51,0.22,0.12,0.0,0.0
QRC,51,0.22,0.12,0.05,3.4621490099190755
QRC,51,0.22,0.12,0.12,3.488863649912754
QRC,51,0.22,0.12,0.22,3.2610285774216243
QRC,51,0.22,0.12,0.3,3.105817673058961
QRC,51,0.22,0.16,0.0,0.0031043285892109
QRC,51,0.22,0.16,0.05,3.1436860831165103
QRC,51,0.22,0.16,0.12,3.566821325219375
QRC,51,0.22,0.16,0.22,3.1747443352303417
QRC,51,0.22,0.16,0.3,2.822641409961443
QRC,51,0.22,0.28,0.0,0.0
QRC,51,0.22,0.28,0.05,2.6994434850897577
QRC,51,0.22,0.28,0.12,3.1528560872770712
QRC,51,0.22,0.28,0.22,2.983787825230367
QRC,51,0.22,0.28,0.3,2.7421850164008417
QRC,51,0.22,0.42,0.0,0.0
QRC,51,0.22,0.42,0.05,3.696873230068292
QRC,51,0.22,0.42,0.12,3.8203224263799376
QRC,51,0.22,0.42,0.22,3.444957529436352
QRC,51,0.22,0.42,0.3,3.2186659422527697
QRC,51,0.5,0.0,0.0,0.0
QRC,51,0.5,0.0,0.05,0.0
QRC,51,0.5,0.0,0.12,0.0
QRC,51,0.5,0.0,0.22,0.0
QRC,51,0.5,0.0,0.3,0.0
QRC,51,0.5,0.05,0.0,0.0
QRC,51,0.5,0.05,0.05,1.0067085855522515
QRC,51,0.5,0.05,0.12,1.2091369069287048
QRC,51,0.5,0.05,0.22,1.1676322350414772
QRC,51,0.5,0.05,0.3,1.3493070994459442
QRC,51,0.5,0.1,0.0,0.0
QRC,51,0.5,0.1,0.05,1.1215242782241388
QRC,51,0.5,0.1,0.12,1.4380277432428654
QRC,51,0.5,0.1,0.22,1.6381959773257968
QRC,51,0.5,0.1,0.3,1.7162118114003189
QRC,51,0.5,0.12,0.0,0.0002107050627274
QRC,51,0.5,0.12,0.05,1.1613528653244392
QRC,51,0.5,0.12,0.12,1.5526984730000195
QRC,51,0.5,0.12,0.22,1.7802514666637697
QRC,51,0.5,0.12,0.3,1.8032718757819008
QRC,51,0.5,0.16,0.0,0.0
QRC,51,0.5,0.16,0.05,1.1700530529019773
QRC,51,0.5,0.16,0.12,1.4904260072375388
QRC,51,0.5,0.16,0.22,1.5407027822125938
QRC,51,0.5,0.16,0.3,1.527465062741226
QRC,51,0.5,0.28,0.0,0.0055554385675378
QRC,51,0.5,0.28,0.05,0.9307052171881776
QRC,51,0.5,0.28,0.12,1.3149991130748533
QRC,51,0.5,0.28,0.22,1.246999213073508
QRC,51,0.5,0.28,0.3,1.0206926771820797
QRC,51,0.5,0.42,0.0,0.0006327218436379
QRC,51,0.5,0.42,0.05,1.12028043999862
QRC,51,0.5,0.42,0.12,1.305354538403186
QRC,51,0.5,0.42,0.22,1.4665932335045797
QRC,51,0.5,0.42,0.3,1.5294589580853586
