family,seed,beta_pi,lambda_pi,gamma,MC
QRC,43,0.04,0.16,0.12,7.093947724656292
QRC,43,0.04,0.16,0.22,6.082002736699177
QRC,43,0.04,0.16,0.3,5.543808731496807
QRC,43,0.04,0.28,0.0,0.0086546896041092
QRC,43,0.04,0.28,0.05,5.627055710737746
QRC,43,0.04,0.28,0.12,5.331270145602966
QRC,43,0.04,0.28,0.22,5.110778301158016
QRC,43,0.04,0.28,0.3,4.816032791056392
QRC,43,0.04,0.42,0.0,0.0005881125109064
QRC,43,0.04,0.42,0.05,9.993860085887793
QRC,43,0.04,0.42,0.12,8.844708932285386
QRC,43,0.04,0.42,0.22,7.788597058855865
QRC,43,0.04,0.42,0.3,6.663041359788455
QRC,43,0.07,0.0,0.0,0.0
QRC,43,0.07,0.0,0.05,0.0
QRC,43,0.07,0.0,0.12,0.0
QRC,43,0.07,0.0,0.22,0.0
QRC,43,0.07,0.0,0.3,0.0
QRC,43,0.07,0.05,0.0,0.0
QRC,43,0.07,0.05,0.05,8.958220152871379
QRC,43,0.07,0.05,0.12,8.241885410368253
QRC,43,0.07,0.05,0.22,6.524934121123584
QRC,43,0.07,0.05,0.3,5.51230897524354
QRC,43,0.07,0.1,0.0,0.0
QRC,43,0.07,0.1,0.05,7.186705000168651
QRC,43,0.07,0.1,0.12,6.934980058572348
QRC,43,0.07,0.1,0.22,6.07436239853296
QRC,43,0.07,0.1,0.3,5.539999077722477
QRC,43,0.07,0.12,0.0,0.0
QRC,43,0.07,0.12,0.05,5.43602679719785
QRC,43,0.07,0.12,0.12,5.365482796574846
QRC,43,0.07,0.12,0.22,4.824791339775077
QRC,43,0.07,0.12,0.3,4.863602280356012
QRC,43,0.07,0.16,0.0,0.0
QRC,43,0.07,0.16,0.05,5.790455175192226
QRC,43,0.07,0.16,0.12,5.775664725825481
QRC,43,0.07,0.16,0.22,4.961808510062015
QRC,43,0.07,0.16,0.3,4.521472827559385
QRC,43,0.07,0.28,0.0,0.0
QRC,43,0.07,0.28,0.05,4.578954081032853
QRC,43,0.07,0.28,0.12,4.455143322360285
QRC,43,0.07,0.28,0.22,4.3997518071152335
QRC,43,0.07,0.28,0.3,4.252155766714875
QRC,43,0.07,0.42,0.0,0.0
QRC,43,0.07,0.42,0.05,8.244963265387762
QRC,43,0.07,0.42,0.12,7.760566956938402
QRC,43,0.07,0.42,0.22,6.586166942755106
QRC,43,0.07,0.42,0.3,5.650180083732765
QRC,43,0.1,0.0,0.0,0.0
QRC,43,0.1,0.0,0.05,0.0
QRC,43,0.1,0.0,0.12,0.0
QRC,43,0.1,0.0,0.22,0.0
QRC,43,0.1,0.0,0.3,0.0
QRC,43,0.1,0.05,0.0,0.0
QRC,43,0.1,0.05,0.05,7.694731700804772
QRC,43,0.1,0.05,0.12,7.270866441073947
QRC,43,0.1,0.05,0.22,5.750291437517486
QRC,43,0.1,0.05,0.3,4.926987225573884
QRC,43,0.1,0.1,0.0,0.0
QRC,43,0.1,0.1,0.05,6.2063880588253975
QRC,43,0.1,0.1,0.12,6.106277002793057
QRC,43,0.1,0.1,0.22,5.387905295607238
QRC,43,0.1,0.1,0.3,5.018386275470075
QRC,43,0.1,0.12,0.0,0.0
QRC,43,0.1,0.12,0.05,4.3132411885225785
QRC,43,0.1,0.12,0.12,4.524726926295009
QRC,43,0.1,0.12,0.22,4.395752882672423
QRC,43,0.1,0.12,0.3,4.408275992115383
QRC,43,0.1,0.16,0.0,0.0
QRC,43,0.1,0.16,0.05,4.881624834061126
QRC,43,0.1,0.16,0.12,4.849916494290939
QRC,43,0.1,0.16,0.22,4.31860201660412
QRC,43,0.1,0.16,0.3,3.8932694623598856
QRC,43,0.1,0.28,0.0,0.0
QRC,43,0.1,0.28,0.05,3.915619358369397
QRC,43,0.1,0.28,0.12,3.9050945320805854
QRC,43,0.1,0.28,0.22,3.879631657020134
QRC,43,0.1,0.28,0.3,3.755945163932685
QRC,43,0.1,0.42,0.0,0.0
QRC,43,0.1,0.42,0.05,6.969446462189652
QRC,43,0.1,0.42,0.12,6.894518085921559
QRC,43,0.1,0.42,0.22,5.673027383634331
QRC,43,0.1,0.42,0.3,4.884584469640956
QRC,43,0.22,0.0,0.0,0.0
QRC,43,0.22,0.0,0.05,0.0
QRC,43,0.22,0.0,0.12,0.0
QRC,43,0.22,0.0,0.22,0.0
QRC,43,0.22,0.0,0.3,0.0
QRC,43,0.22,0.05,0.0,0.0
QRC,43,0.22,0.05,0.05,3.764951499616095
QRC,43,0.22,0.05,0.12,4.046737536788503
QRC,43,0.22,0.05,0.22,3.683730603311038
QRC,43,0.22,0.05,0.3,3.515477905913388
QRC,43,0.22,0.1,0.0,0.0
QRC,43,0.22,0.1,0.05,3.542716041300451
QRC,43,0.22,0.1,0.12,3.756590416656582
QRC,43,0.22,0.1,0.22,3.589553524928278
QRC,43,0.22,0.1,0.3,3.387976569527051
QRC,43,0.22,0.12,0.0,0.0
QRC,43,0.22,0.12,0.05,2.9427694768983508
QRC,43,0.22,0.12,0.12,3.1829128558755078
QRC,43,0.22,0.12,0.22,3.1911114563313543
QRC,43,0.22,0.12,0.3,3.148757617117212
QRC,43,0.22,0.16,0.0,0.0
QRC,43,0.22,0.16,0.05,2.410670416803289
QRC,43,0.22,0.16,0.12,2.6819759365706664
QRC,43,0.22,0.16,0.22,2.566650437013795
QRC,43,0.22,0.16,0.3,2.496060100063831
QRC,43,0.22,0.28,0.0,0.0015318140427197
QRC,43,0.22,0.28,0.05,2.181715752326028
QRC,43,0.22,0.28,0.12,2.4652605315890925
QRC,43,0.22,0.28,0.22,2.3366748428550825
QRC,43,0.22,0.28,0.3,2.284623107423654
QRC,43,0.22,0.42,0.0,0.0
QRC,43,0.22,0.42,0.05,3.9898111197471233
QRC,43,0.22,0.42,0.12,4.003493438255389
QRC,43,0.22,0.42,0.22,3.461420357319441
QRC,43,0.22,0.42,0.3,3.142113040640337
QRC,43,0.5,0.0,0.0,0.0007885772392735
QRC,43,0.5,0.0,0.05,0.0
QRC,43,0.5,0.0,0.12,0.0046791125842813
QRC,43,0.5,0.0,0.22,0.0
QRC,43,0.5,0.0,0.3,0.0
QRC,43,0.5,0.05,0.0,0.0
QRC,43,0.5,0.05,0.05,0.7604028321062044
QRC,43,0.5,0.05,0.12,1.071453898617972
QRC,43,0.5,0.05,0.22,1.2938119253399414
QRC,43,0.5,0.05,0.3,1.3710946278009757
QRC,43,0.5,0.1,0.0,0.0
QRC,43,0.5,0.1,0.05,1.06920738307081
QRC,43,0.5,0.1,0.12,1.2438520908482746
QRC,43,0.5,0.1,0.22,1.202941403749878
QRC,43,0.5,0.1,0.3,1.2692850792649268
QRC,43,0.5,0.12,0.0,0.0
QRC,43,0.5,0.12,0.05,1.3254543199061066
QRC,43,0.5,0.12,0.12,1.4940870870465268
QRC,43,0.5,0.12,0.22,1.3700173550586732
QRC,43,0.5,0.12,0.3,1.3005107192051262
QRC,43,0.5,0.16,0.0,0.0
QRC,43,0.5,0.16,0.05,1.169758644662945
QRC,43,0.5,0.16,0.12,1.3833844411568528
QRC,43,0.5,0.16,0.22,1.422323391681803
QRC,43,0.5,0.16,0.3,1.4576393804644
QRC,43,0.5,0.28,0.0,0.0
QRC,43,0.5,0.28,0.05,0.7130379904311556
QRC,43,0.5,0.28,0.12,1.0394430115958375
QRC,43,0.5,0.28,0.22,1.1449831349229784
QRC,43,0.5,0.28,0.3,1.199630515646394
QRC,43,0.5,0.42,0.0,0.0
QRC,43,0.5,0.42,0.05,0.9576723807505512
QRC,43,0.5,0.42,0.12,1.1555976455651344
QRC,43,0.5,0.42,0.22,1.1980882722192585
QRC,43,0.5,0.42,0.3,1.293797720941754
QRC,44,0.0,0.0,0.0,0.0
QRC,44,0.0,0.0,0.05,0.0
QRC,44,0.0,0.0,0.12,0.0
QRC,44,0.0,0.0,0.22,0.0
QRC,44,0.0,0.0,0.3,0.0
QRC,44,0.0,0.05,0.0,0.0
QRC,44,0.0,0.05,0.05,0.0
QRC,44,0.0,0.05,0.12,0.0
QRC,44,0.0,0.05,0.22,0.0
QRC,44,0.0,0.05,0.3,0.0
QRC,44,0.0,0.1,0.0,0.0
QRC,44,0.0,0.1,0.05,0.0
QRC,44,0.0,0.1,0.12,0.0
QRC,44,0.0,0.1,0.22,0.0
QRC,44,0.0,0.1,0.3,0.0
QRC,44,0.0,0.12,0.0,0.0
QRC,44,0.0,0.12,0.05,0.0
QRC,44,0.0,0.12,0.12,0.0
QRC,44,0.0,0.12,0.22,0.0
QRC,44,0.0,0.12,0.3,0.0
QRC,44,0.0,0.16,0.0,0.0
QRC,44,0.0,0.16,0.05,0.0
QRC,44,0.0,0.16,0.12,0.0
QRC,44,0.0,0.16,0.22,0.0
QRC,44,0.0,0.16,0.3,0.0
QRC,44,0.0,0.28,0.0,0.0
QRC,44,0.0,0.28,0.05,0.0
QRC,44,0.0,0.28,0.12,0.0
QRC,44,0.0,0.28,0.22,0.0
QRC,44,0.0,0.28,0.3,0.0
QRC,44,0.0,0.42,0.0,0.0
QRC,44,0.0,0.42,0.05,0.0
QRC,44,0.0,0.42,0.12,0.0
QRC,44,0.0,0.42,0.22,0.0
QRC,44,0.0,0.42,0.3,0.0
QRC,44,0.02,0.0,0.0,0.0
QRC,44,0.02,0.0,0.05,0.0
QRC,44,0.02,0.0,0.12,0.0
QRC,44,0.02,0.0,0.22,0.0
QRC,44,0.02,0.0,0.3,0.0
QRC,44,0.02,0.05,0.0,0.0
QRC,44,0.02,0.05,0.05,10.42106720849398
QRC,44,0.02,0.05,0.12,10.170315605794706
QRC,44,0.02,0.05,0.22,8.240318610124147
QRC,44,0.02,0.05,0.3,6.740108194432267
QRC,44,0.02,0.1,0.0,0.0
QRC,44,0.02,0.1,0.05,12.963288940442595
QRC,44,0.02,0.1,0.12,11.225788237499696
QRC,44,0.02,0.1,0.22,8.600875009965469
QRC,44,0.02,0.1,0.3,7.137667332866556
QRC,44,0.02,0.12,0.0,0.0193414198922595
QRC,44,0.02,0.12,0.05,12.700983156116546
QRC,44,0.02,0.12,0.12,10.426969153139323
QRC,44,0.02,0.12,0.22,8.338729800298802
QRC,44,0.02,0.12,0.3,7.140484269482941
QRC,44,0.02,0.16,0.0,0.0
QRC,44,0.02,0.16,0.05,11.901396212929878
QRC,44,0.02,0.16,0.12,9.32252679628667
QRC,44,0.02,0.16,0.22,7.170043275603975
QRC,44,0.02,0.16,0.3,6.576249221232688
QRC,44,0.02,0.28,0.0,0.0
QRC,44,0.02,0.28,0.05,9.589880033503633
QRC,44,0.02,0.28,0.12,7.647642360550015
QRC,44,0.02,0.28,0.22,6.259384653124779
QRC,44,0.02,0.28,0.3,5.535055820312159
QRC,44,0.02,0.42,0.0,0.0
QRC,44,0.02,0.42,0.05,11.22936240951704
QRC,44,0.02,0.42,0.12,11.457405946336433
QRC,44,0.02,0.42,0.22,8.901054009841987
QRC,44,0.02,0.42,0.3,7.242287517299085
QRC,44,0.04,0.0,0.0,0.0
QRC,44,0.04,0.0,0.05,0.0
QRC,44,0.04,0.0,0.12,0.0
QRC,44,0.04,0.0,0.22,0.0
QRC,44,0.04,0.0,0.3,0.0
QRC,44,0.04,0.05,0.0,0.0
QRC,44,0.04,0.05,0.05,9.303340922102306
