p,q,beta_pi,lambda_pi,gamma,top_frequency,mean_val_rank,mean_val_nmse,in_band
10,0.5,0.04,0.1,0.3,0.3125,0.18081632653061225,0.1949718435479518,False
10,0.5,0.04,0.12,0.0,0.0,0.7689795918367347,1.235207570454595,False
10,0.5,0.04,0.12,0.05,0.275,0.2644387755102041,0.14741474696841622,False
10,0.5,0.04,0.12,0.12,0.275,0.16010204081632654,0.164799625694483,False
10,0.5,0.04,0.12,0.22,0.3375,0.16724489795918368,0.19170941935982314,False
10,0.5,0.04,0.12,0.3,0.3125,0.19459183673469388,0.1971099638889934,False
10,0.5,0.04,0.16,0.0,0.0,0.7906122448979592,1.2576931468061363,False
10,0.5,0.04,0.16,0.05,0.175,0.27438775510204083,0.15765327209331495,False
10,0.5,0.04,0.16,0.12,0.25,0.17295918367346938,0.17834061618471544,False
10,0.5,0.04,0.16,0.22,0.25,0.189234693877551,0.19647565596180958,False
10,0.5,0.04,0.16,0.3,0.1875,0.2279591836734694,0.19989145191494667,False
10,0.5,0.04,0.28,0.0,0.0,0.7605612244897959,1.1590603038796057,False
10,0.5,0.04,0.28,0.05,0.175,0.3388265306122449,0.1638016550377771,False
10,0.5,0.04,0.28,0.12,0.125,0.22617346938775512,0.18117216716344914,False
10,0.5,0.04,0.28,0.22,0.1,0.21826530612244896,0.19393051534588301,False
10,0.5,0.04,0.28,0.3,0.1625,0.2429591836734694,0.19772167757327835,False
10,0.5,0.04,0.42,0.0,0.0,0.7679081632653062,1.2257134895082986,False
10,0.5,0.04,0.42,0.05,0.225,0.28464285714285714,0.14882517592164854,False
10,0.5,0.04,0.42,0.12,0.375,0.15637755102040815,0.14246266920646636,False
10,0.5,0.04,0.42,0.22,0.225,0.1609183673469388,0.17744489230818142,False
10,0.5,0.04,0.42,0.3,0.175,0.17897959183673467,0.19050250529452578,False
10,0.5,0.07,0.0,0.0,0.0,0.8471428571428572,1.26643289634779,False
10,0.5,0.07,0.0,0.05,0.0,0.7064285714285714,0.980590919804183,False
10,0.5,0.07,0.0,0.12,0.0,0.7361734693877551,1.117932725755794,False
10,0.5,0.07,0.0,0.22,0.0,0.7614285714285713,1.1935521262896178,False
10,0.5,0.07,0.0,0.3,0.0,0.7714795918367348,1.2335261828167254,False
10,0.5,0.07,0.05,0.0,0.0,0.7710714285714285,1.2041774292756995,False
10,0.5,0.07,0.05,0.05,0.175,0.32285714285714284,0.15767343791091692,False
10,0.5,0.07,0.05,0.12,0.2,0.2195408163265306,0.1499246970951686,False
10,0.5,0.07,0.05,0.22,0.25,0.17408163265306123,0.17909285102905617,False
10,0.5,0.07,0.05,0.3,0.3375,0.17545918367346938,0.1904079211743676,False
10,0.5,0.07,0.1,0.0,0.0,0.7564795918367346,1.191285792417336,False
10,0.5,0.07,0.1,0.05,0.175,0.30377551020408167,0.1598097309209938,False
10,0.5,0.07,0.1,0.12,0.2625,0.16158163265306122,0.17020696640114857,False
10,0.5,0.07,0.1,0.22,0.425,0.15086734693877552,0.192224840050234,False
10,0.5,0.07,0.1,0.3,0.35,0.17326530612244898,0.19733515475241084,False
10,0.5,0.07,0.12,0.0,0.0,0.7593367346938775,1.2213632046529177,False
10,0.5,0.07,0.12,0.05,0.1875,0.29984693877551016,0.15997880911635642,False
10,0.5,0.07,0.12,0.12,0.3,0.16005102040816327,0.17839447899385863,False
10,0.5,0.07,0.12,0.22,0.5375,0.14892857142857144,0.19590488029518419,True
10,0.5,0.07,0.12,0.3,0.3375,0.18331632653061225,0.19941521635753298,False
10,0.5,0.07,0.16,0.0,0.0,0.7851530612244898,1.2163397574489085,False
10,0.5,0.07,0.16,0.05,0.125,0.32153061224489793,0.17756876706588137,False
10,0.5,0.07,0.16,0.12,0.2,0.20377551020408163,0.19100167706788745,False
10,0.5,0.07,0.16,0.22,0.4125,0.17974489795918366,0.1998294865431361,False
10,0.5,0.07,0.16,0.3,0.3,0.21862244897959182,0.2023150141635371,False
10,0.5,0.07,0.28,0.0,0.0,0.758469387755102,1.1395562808629982,False
10,0.5,0.07,0.28,0.05,0.1,0.38387755102040816,0.18157139763752905,False
10,0.5,0.07,0.28,0.12,0.1375,0.27938775510204084,0.19502717236082456,False
10,0.5,0.07,0.28,0.22,0.1625,0.21749999999999997,0.19840735855318395,False
10,0.5,0.07,0.28,0.3,0.175,0.22882653061224492,0.19980571774448472,False
10,0.5,0.07,0.42,0.0,0.0,0.7320918367346938,1.1815021079813754,False
10,0.5,0.07,0.42,0.05,0.2,0.32071428571428573,0.15723140303396713,False
10,0.5,0.07,0.42,0.12,0.2875,0.1738265306122449,0.16000456652532657,False
10,0.5,0.07,0.42,0.22,0.3375,0.15831632653061226,0.18594893300688373,False
10,0.5,0.07,0.42,0.3,0.3625,0.1632142857142857,0.1939306262620962,False
