task,seed,readout,beta_pi,lambda_pi,gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
lorenz,53,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110235,1.0026944750194426,1e-08
mackey_glass,53,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,53,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.027351042271381,1e-08
sunspots_annual,53,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0031584549099921,1.0125397907848983,0.01
lorenz,54,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,54,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,54,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,54,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0025037631864988,1.014014620731905,1e-08
lorenz,55,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,55,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,55,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,55,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0032613980648042,1.0123292871264162,1e-05
lorenz,56,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.219789684811033,1.002694475019443,1e-08
mackey_glass,56,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,56,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,56,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0026102371993604,1.0137568540972217,1e-08
lorenz,57,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
mackey_glass,57,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,57,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,57,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.0027274303063591,1.0134817922736237,0.001
lorenz,58,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,58,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,58,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,58,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.001866022718379,1.015747673353251,1e-08
lorenz,59,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
mackey_glass,59,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,59,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,59,Z+ZZ,0.0,0.0,0.05,4,3,ring,rx_zz,uniform,amplitude,1.002218043776763,1.0147474992355874,1e-07
